product_no,price
p296,300.54
p297,556.87
p298,445.40
p299,385.25
p300,30.83
p301,541.21
p302,314.21
p303,79.39
p304,329.04
p305,871.43
p306,321.49
p307,26.81
p308,460.27
p309,311.46
p310,706.43
p311,432.25
p312,685.40
p313,417.68
p314,337.08
p315,578.53
p316,339.23
p317,612.86
p318,511.75
p319,164.53
p320,192.20
p321,864.41
p322,574.54
p323,331.35
p324,611.59
p325,286.74
p326,455.36
p327,776.31
p328,535.29
p329,539.53
p330,560.18
p331,317.36
p332,742.60
p333,649.16
p334,618.93
p335,568.73
p336,698.92
p337,783.91
p338,142.07
p339,660.44
p340,733.30
p341,880.55
p342,756.93
p343,982.31
p344,358.74
p345,51.93
p346,173.82
p347,289.64
p348,34.07
p349,342.17
p350,41.55
p351,259.11
p352,98.16
p353,494.01
p354,998.72
p355,384.72
p356,175.41
p357,681.70
p358,798.32
p359,503.51
p360,311.95
p361,823.69
p362,878.67
p363,934.18
p364,791.01
p365,772.00
p366,270.21
p367,879.65
p368,972.98
p369,785.93
p370,304.90
p371,286.39
p372,244.65
p373,381.38
p374,35.14
p375,861.50
p376,48.99
p377,791.48
p378,706.14
p379,998.45
p380,603.63
p381,309.01
p382,276.27
p383,507.19
p384,298.84
p385,861.65
p386,622.72
p387,33.18
p388,70.10
p389,50.13
p390,2.78
p391,840.77
p392,946.76
p393,216.82
p394,851.54
p395,227.81
p396,373.51
p397,147.82
p398,17.69
p399,178.01
p400,774.13
p401,58.14
p402,824.38
p403,459.12
p404,98.69
p405,944.49
p406,289.07
p407,79.28
p408,588.87
p409,717.86
p410,18.45
p411,429.01
p412,477.31
p413,662.35
p414,710.97
p415,640.25
p416,867.75
p417,810.60
p418,395.59
p419,988.23
p420,467.44
p421,905.46
p422,513.79
p423,466.78
p424,566.27
p425,20.53
p426,531.77
p427,390.95
p428,397.54
p429,734.28
p430,609.86
p431,427.68
p432,821.53
p433,101.38
p434,209.28
p435,683.18
p436,960.02
p437,966.90
p438,420.14
p439,425.99
p440,436.39
p441,685.04
p442,390.05
p443,297.92
p444,858.97
p445,923.58
p446,676.00
p447,316.44
p448,932.09
p449,585.04
p450,751.31
p451,165.03
p452,106.91
p453,352.90
p454,653.19
p455,781.27
p456,5.76
p457,368.15
p458,932.32
p459,400.13
p460,5.43
p461,90.78
p462,675.78
p463,448.99
p464,255.41
p465,578.26
p466,574.68
p467,176.61
p468,157.94
p469,420.36
p470,227.21
p471,561.96
p472,978.76
p473,143.32
p474,426.44
p475,982.37
p476,499.68
p477,593.19
p478,273.44
p479,683.52
p480,710.18
p481,568.83
p482,31.30
p483,133.92
p484,546.18
p485,611.43
p486,777.18
p487,102.34
p488,483.50
p489,394.85
p490,419.22
p491,239.05
p492,565.21
p493,739.89
p494,421.18
p495,223.02
p496,983.24
p497,914.82
p498,412.41
p499,32.71
p500,755.57
p501,692.19
p502,530.79
p503,812.89
p504,379.63
p505,945.10
p506,82.62
p507,988.75
p508,841.24
p509,349.73
p510,318.08
p511,825.87
p512,159.68
p513,220.92
p514,601.76
p515,192.72
p516,787.50
p517,660.40
p518,530.15
p519,966.23
p520,646.59
p521,891.76
p522,831.94
p523,544.73
p524,101.38
p525,649.94
p526,497.62
p527,955.03
p528,352.17
p529,325.77
p530,860.52
p531,154.91
p532,528.08
p533,361.38
p534,597.85
p535,911.68
p536,540.10
p537,237.11
p538,993.67
p539,518.21
p540,246.71
p541,403.75
p542,615.79
p543,212.00
p544,677.41
p545,455.45
p546,969.99
p547,460.75
p548,197.67
p549,769.96
p550,219.97
p551,504.07
p552,186.33
p553,603.66
p554,377.07
p555,824.07
p556,283.38
p557,752.77
p558,747.97
p559,575.56
p560,616.19
p561,451.46
p562,246.15
p563,128.37
p564,275.22
p565,389.32
p566,595.68
p567,201.58
p568,26.27
p569,857.68
p570,886.14
p571,273.94
p572,433.27
p573,717.55
p574,520.51
p575,838.89
p576,918.33
p577,280.64
p578,8.44
p579,853.87
p580,879.43
p581,358.70
p582,828.18
p583,319.22
p584,707.11
p585,147.94
p586,283.60
p587,765.81
p588,282.43
p589,60.13
p590,982.12
p591,86.84
p592,373.68
p593,744.29
p594,459.82
p595,650.66
p596,1.56
p597,237.59
p598,147.97
p599,577.21
p600,265.13
p601,686.59
p602,999.28
p603,568.55
p604,967.15
p605,966.59
p606,26.79
p607,773.21
p608,57.28
p609,596.31
p610,736.08
p611,748.18
p612,423.50
p613,577.88
p614,897.44
p615,911.49
p616,101.55
p617,396.86
p618,641.65
p619,495.99
p620,167.31
p621,765.95
p622,672.51
p623,352.21
p624,635.20
p625,158.42
p626,24.96
p627,93.62
p628,356.35
p629,133.61
p630,990.77
p631,586.47
p632,272.38
p633,104.13
p634,79.43
p635,643.81
p636,602.74
p637,715.98
p638,246.50
p639,907.26
p640,833.58
p641,120.89
p642,905.21
p643,103.97
p644,915.95
p645,74.21
p646,53.42
p647,566.85
p648,92.18
p649,554.85
p650,569.90
p651,817.13
p652,383.88
p653,644.68
p654,527.99
p655,567.98
p656,535.39
p657,649.08
p658,131.17
p659,14.46
p660,914.13
p661,822.59
p662,862.63
p663,898.45
p664,830.58
p665,34.50
p666,269.62
p667,950.47
p668,838.44
p669,169.46
p670,657.40
p671,595.58
p672,4.21
p673,968.02
p674,63.71
p675,610.39
p676,534.01
p677,309.83
p678,535.61
p679,572.58
p680,287.23
p681,535.82
p682,312.94
p683,846.17
p684,333.83
p685,641.26
p686,566.78
p687,461.84
p688,183.65
p689,899.57
p690,732.02
p691,385.59
p692,501.09
p693,373.96
p694,728.43
p695,70.82
p696,849.59
p697,164.80
p698,732.75
p699,713.29
p700,285.16
p701,415.54
p702,339.17
p703,193.30
p704,212.17
p705,434.80
p706,784.17
p707,279.64
p708,368.89
p709,444.95
p710,370.06
p711,613.27
p712,607.27
p713,54.19
p714,697.51
p715,879.83
p716,884.82
p717,13.89
p718,495.86
p719,300.88
p720,901.78
p721,649.15
p722,418.68
p723,786.20
p724,465.58
p725,43.98
p726,239.91
p727,559.08
p728,155.97
p729,741.17
p730,838.15
p731,561.33
p732,255.07
p733,575.54
p734,43.97
p735,153.89
p736,734.19
p737,83.03
p738,320.88
p739,267.70
p740,769.62
p741,44.81
p742,450.69
p743,328.94
p744,274.43
p745,238.77
p746,25.50
p747,694.89
p748,343.36
p749,200.73
p750,337.20
p751,812.46
p752,728.03
p753,346.52
p754,603.21
p755,18.06
p756,554.21
p757,343.92
p758,723.61
p759,599.36
p760,309.36
p761,802.91
p762,133.06
p763,901.13
p764,161.97
p765,730.88
p766,814.91
p767,977.05
p768,766.85
p769,242.61
p770,348.17
p771,467.50
p772,316.11
p773,913.33
p774,434.60
p775,256.69
p776,565.00
p777,133.19
p778,328.12
p779,945.33
p780,16.25
p781,282.75
p782,581.36
p783,579.53
p784,729.65
p785,819.14
p786,387.41
p787,432.53
p788,957.02
p789,279.29
p790,728.57
p791,257.13
p792,996.06
p793,899.80
p794,155.46
p795,374.97
p796,271.97
p797,600.32
p798,410.07
p799,852.92
p800,509.28
p801,527.76
p802,931.61
p803,239.80
p804,290.12
p805,874.08
p806,443.83
p807,96.67
p808,824.92
p809,721.81
p810,773.87
p811,806.06
p812,832.91
p813,302.13
p814,597.40
p815,469.73
p816,656.02
p817,789.88
p818,977.31
p819,472.93
p820,756.28
p821,297.88
p822,955.21
p823,282.54
p824,581.95
p825,830.36
p826,550.17
p827,459.46
p828,108.98
p829,952.44
p830,452.69
p831,698.99
p832,648.32
p833,414.35
p834,954.60
p835,92.30
p836,993.88
p837,597.17
p838,185.44
p839,12.75
p840,326.69
p841,289.25
p842,502.00
p843,742.66
p844,25.91
p845,504.83
p846,652.78
p847,592.04
p848,393.10
p849,566.87
p850,440.14
p851,576.14
p852,724.21
p853,680.73
p854,822.39
p855,884.58
p856,178.32
p857,15.69
p858,317.62
p859,270.28
p860,741.22
p861,405.12
p862,810.95
p863,695.81
p864,925.18
p865,734.21
p866,304.48
p867,257.51
p868,878.58
p869,670.68
p870,571.24
p871,274.31
p872,480.27
p873,207.88
p874,120.18
p875,97.07
p876,959.55
p877,785.00
p878,393.33
p879,439.42
p880,44.29
p881,367.88
p882,183.46
p883,473.03
p884,916.64
p885,483.27
p886,850.82
p887,615.62
p888,400.69
p889,291.79
p890,312.98
p891,361.97
p892,408.82
p893,771.73
p894,979.90
p895,913.13
p896,694.15
p897,173.65
p898,638.06
p899,770.68
p900,735.44
p901,171.33
p902,953.75
p903,330.07
p904,662.90
p905,402.67
p906,882.27
p907,470.51
p908,134.28
p909,975.65
p910,87.80
p911,580.00
p912,71.54
p913,434.20
p914,36.79
p915,334.69
p916,167.60
p917,406.30
p918,364.03
p919,208.11
p920,628.94
p921,990.32
p922,501.89
p923,387.42
p924,301.25
p925,628.17
p926,95.28
p927,773.41
p928,734.88
p929,904.74
p930,194.63
p931,406.69
p932,908.39
p933,252.24
p934,935.02
p935,473.13
p936,533.36
p937,705.24
p938,998.43
p939,908.94
p940,772.53
p941,578.90
p942,532.68
p943,977.19
p944,782.11
p945,25.92
p946,611.44
p947,225.19
p948,304.20
p949,193.42
p950,676.32
p951,871.60
p952,894.99
p953,887.65
p954,950.01
p955,564.24
p956,359.09
p957,981.18
p958,517.19
p959,285.79
p960,163.77
p961,219.68
p962,112.91
p963,870.80
p964,885.15
p965,464.36
p966,275.39
p967,715.47
p968,729.27
p969,592.70
p970,913.79
p971,595.18
p972,922.08
p973,829.80
p974,648.13
p975,920.71
p976,154.63
p977,491.13
p978,102.55
p979,812.47
p980,484.53
p981,626.74
p982,62.02
p983,32.38
p984,272.29
p985,203.10
p986,1.47
p987,267.65
p988,966.31
p989,128.22
p990,614.59
p991,11.51
p992,27.48
p993,278.58
p994,15.05
p995,651.07
p996,594.29
p997,321.76
p998,305.02
p999,628.99
p1000,133.88
p1001,901.88
p1002,374.49
p1003,578.85
p1004,721.39
p1005,821.12
p1006,387.83
p1007,272.52
p1008,52.40
p1009,857.48
p1010,864.44
p1011,202.05
p1012,651.75
p1013,749.40
p1014,809.99
p1015,14.32
p1016,502.58
p1017,351.71
p1018,884.47
p1019,506.85
p1020,240.48
p1021,747.98
p1022,739.00
p1023,682.75
p1024,769.80
p1025,729.46
p1026,698.73
p1027,7.55
p1028,699.81
p1029,22.47
p1030,163.60
p1031,937.85
p1032,111.58
p1033,701.04
p1034,657.44
p1035,336.77
p1036,798.20
p1037,556.89
p1038,785.84
p1039,471.77
p1040,834.01
p1041,445.48
p1042,206.54
p1043,792.45
p1044,579.39
p1045,183.06
p1046,303.42
p1047,250.86
p1048,521.32
p1049,173.28
p1050,387.17
p1051,266.12
p1052,921.21
p1053,85.54
p1054,367.46
p1055,449.16
p1056,739.83
p1057,306.87
p1058,594.58
p1059,304.18
p1060,255.34
p1061,63.92
p1062,611.50
p1063,921.79
p1064,819.94
p1065,477.63
p1066,726.85
p1067,694.87
p1068,696.46
p1069,990.86
p1070,934.47
p1071,495.16
p1072,111.83
p1073,873.69
p1074,798.69
p1075,955.24
p1076,938.93
p1077,750.78
p1078,417.12
p1079,467.05
p1080,374.60
p1081,427.43
p1082,894.66
p1083,794.68
p1084,765.69
p1085,977.28
p1086,595.54
p1087,564.94
p1088,299.44
p1089,426.56
p1090,344.34
p1091,848.22
p1092,836.37
p1093,556.19
p1094,624.33
p1095,160.87
p1096,659.77
p1097,551.18
p1098,681.64
p1099,687.81
p1100,321.71
p1101,247.09
p1102,911.34
p1103,409.22
p1104,854.97
p1105,97.40
p1106,324.45
p1107,192.05
p1108,854.02
p1109,919.35
p1110,377.54
p1111,432.59
p1112,669.53
p1113,937.63
p1114,158.41
p1115,963.72
p1116,842.17
p1117,100.54
p1118,501.53
p1119,942.50
p1120,756.13
p1121,452.99
p1122,929.28
p1123,437.95
p1124,905.75
p1125,484.53
p1126,125.50
p1127,600.93
p1128,288.16
p1129,940.43
p1130,167.24
p1131,33.15
p1132,144.41
p1133,198.63
p1134,15.67
p1135,940.69
p1136,106.30
p1137,746.32
p1138,825.92
p1139,7.66
p1140,991.53
p1141,846.23
p1142,678.92
p1143,491.57
p1144,780.37
p1145,826.36
p1146,179.95
p1147,424.79
p1148,289.90
p1149,452.69
p1150,979.56
p1151,386.40
p1152,87.47
p1153,777.22
p1154,389.72
p1155,466.66
p1156,254.28
p1157,934.60
p1158,326.62
p1159,725.32
p1160,49.60
p1161,690.83
p1162,906.59
p1163,363.71
p1164,661.66
p1165,19.26
p1166,843.02
p1167,350.79
p1168,152.04
p1169,778.73
p1170,478.85
p1171,441.29
p1172,805.56
p1173,388.24
p1174,971.19
p1175,333.97
p1176,901.05
p1177,487.22
p1178,677.84
p1179,719.44
p1180,418.99
p1181,497.93
p1182,960.89
p1183,694.21
p1184,229.95
p1185,138.09
p1186,345.21
p1187,264.41
p1188,384.04
p1189,784.71
p1190,438.57
p1191,315.87
p1192,439.65
p1193,200.89
p1194,463.57
p1195,467.66
p1196,760.82
p1197,815.72
p1198,315.53
p1199,696.94
p1200,217.39
p1201,963.93
p1202,737.77
p1203,429.17
p1204,624.98
p1205,414.58
p1206,389.68
p1207,513.67
p1208,436.83
p1209,256.81
p1210,109.48
p1211,476.09
p1212,55.67
p1213,194.81
p1214,169.34
p1215,402.18
p1216,296.87
p1217,916.56
p1218,219.71
p1219,288.98
p1220,338.07
p1221,851.00
p1222,653.49
p1223,749.55
p1224,691.51
p1225,751.92
p1226,448.35
p1227,750.41
p1228,908.44
p1229,570.34
p1230,780.49
p1231,716.72
p1232,257.17
p1233,388.57
p1234,774.83
p1235,359.27
p1236,650.27
p1237,536.00
p1238,53.60
p1239,669.61
p1240,182.24
p1241,645.34
p1242,296.92
p1243,586.76
p1244,92.68
p1245,395.40
p1246,680.53
p1247,94.82
p1248,183.73
p1249,976.57
p1250,900.34
p1251,19.35
p1252,517.49
p1253,166.48
p1254,643.63
p1255,622.40
p1256,588.00
p1257,390.56
p1258,557.03
p1259,320.03
p1260,414.51
p1261,9.87
p1262,483.72
p1263,222.93
p1264,149.09
p1265,939.52
p1266,334.46
p1267,741.38
p1268,870.07
p1269,589.99
p1270,238.17
p1271,686.11
p1272,410.62
p1273,486.94
p1274,329.03
p1275,665.91
p1276,666.02
p1277,865.79
p1278,612.61
p1279,529.80
p1280,948.62
p1281,739.87
p1282,931.81
p1283,650.01
p1284,799.46
p1285,192.58
p1286,213.15
p1287,464.73
p1288,205.88
p1289,64.76
p1290,550.88
p1291,166.31
p1292,314.61
p1293,828.02
p1294,859.83
p1295,627.97
p1296,221.15
p1297,61.39
p1298,814.84
p1299,149.90
p1300,272.71
p1301,954.31
p1302,900.62
p1303,1.72
p1304,803.42
p1305,250.81
p1306,707.34
p1307,46.94
p1308,950.85
p1309,135.48
p1310,808.94
p1311,760.71
p1312,660.60
p1313,657.87
p1314,859.65
p1315,56.19
p1316,976.45
p1317,994.11
p1318,240.83
p1319,832.37
p1320,263.21
p1321,867.37
p1322,280.93
p1323,185.19
p1324,376.43
p1325,483.21
p1326,412.36
p1327,693.51
p1328,786.90
p1329,895.48
p1330,228.04
p1331,638.91
p1332,924.22
p1333,317.47
p1334,352.98
p1335,94.94
p1336,809.05
p1337,229.98
p1338,170.93
p1339,251.52
p1340,827.26
p1341,338.47
p1342,518.94
p1343,202.24
p1344,59.27
p1345,969.41
p1346,959.61
p1347,630.61
p1348,273.92
p1349,940.57
p1350,202.62
p1351,335.02
p1352,348.57
p1353,483.38
p1354,39.82
p1355,303.94
p1356,909.10
p1357,256.05
p1358,730.71
p1359,257.84
p1360,84.80
p1361,640.30
p1362,612.94
p1363,494.39
p1364,643.37
p1365,556.27
p1366,709.41
p1367,53.00
p1368,729.84
p1369,782.25
p1370,469.76
p1371,494.62
p1372,225.26
p1373,55.97
p1374,361.80
p1375,185.79
p1376,976.35
p1377,217.05
p1378,311.48
p1379,802.20
p1380,619.19
p1381,355.67
p1382,536.30
p1383,945.63
p1384,753.79
p1385,88.13
p1386,258.84
p1387,678.86
p1388,16.31
p1389,344.63
p1390,537.13
p1391,926.45
p1392,4.65
p1393,719.30
p1394,340.47
p1395,653.93
p1396,123.40
p1397,736.84
p1398,979.09
p1399,175.69
p1400,538.72
p1401,29.10
p1402,636.73
p1403,991.98
p1404,367.06
p1405,105.51
p1406,762.50
p1407,177.13
p1408,139.77
p1409,967.45
p1410,209.20
p1411,952.11
p1412,857.07
p1413,368.79
p1414,173.06
p1415,534.59
p1416,758.03
p1417,167.21
p1418,498.23
p1419,103.92
p1420,916.81
p1421,138.52
p1422,675.36
p1423,543.86
p1424,38.31
p1425,211.73
p1426,665.12
p1427,750.98
p1428,487.70
p1429,943.79
p1430,817.45
p1431,583.12
p1432,333.23
p1433,1.12
p1434,542.88
p1435,400.05
p1436,87.78
p1437,176.91
p1438,514.25
p1439,179.01
p1440,452.97
p1441,294.63
p1442,557.13
p1443,481.91
p1444,850.73
p1445,376.44
p1446,987.07
p1447,808.35
p1448,312.72
p1449,606.29
p1450,387.86
p1451,398.13
p1452,304.69
p1453,737.80
p1454,979.35
p1455,668.74
p1456,284.33
p1457,784.42
p1458,621.17
p1459,270.53
p1460,466.78
p1461,41.94
p1462,474.10
p1463,395.85
p1464,804.19
p1465,833.21
p1466,587.05
p1467,544.00
p1468,727.74
p1469,295.33
p1470,149.29
p1471,467.50
p1472,940.72
p1473,466.27
p1474,287.74
p1475,547.35
p1476,77.36
p1477,239.46
p1478,98.93
p1479,495.37
p1480,563.65
p1481,477.30
p1482,592.90
p1483,481.50
p1484,329.26
p1485,18.23
p1486,239.89
p1487,117.25
p1488,345.73
p1489,309.57
p1490,926.71
p1491,666.11
p1492,65.69
p1493,393.06
p1494,697.09
p1495,205.02
p1496,910.70
p1497,248.30
p1498,85.27
p1499,252.39
p1500,565.37
p1501,562.26
p1502,813.90
p1503,357.50
p1504,743.80
p1505,241.39
p1506,840.61
p1507,433.09
p1508,813.58
p1509,593.98
p1510,381.39
p1511,306.01
p1512,491.59
p1513,176.38
p1514,981.59
p1515,933.10
p1516,231.00
p1517,586.56
p1518,869.38
p1519,18.92
p1520,119.05
p1521,439.25
p1522,686.44
p1523,789.18
p1524,155.21
p1525,977.43
p1526,763.54
p1527,478.43
p1528,848.84
p1529,956.48
p1530,149.46
p1531,617.45
p1532,865.52
p1533,20.91
p1534,961.29
p1535,169.88
p1536,95.29
p1537,2.63
p1538,49.90
p1539,31.95
p1540,378.99
p1541,858.72
p1542,140.86
p1543,911.74
p1544,408.37
p1545,437.90
p1546,228.81
p1547,74.93
p1548,49.26
p1549,985.71
p1550,282.78
p1551,878.62
p1552,799.06
p1553,397.31
p1554,265.90
p1555,50.37
p1556,159.29
p1557,54.93
p1558,715.19
p1559,410.42
p1560,432.19
p1561,959.82
p1562,58.59
p1563,825.44
p1564,331.80
p1565,162.16
p1566,725.17
p1567,814.62
p1568,735.68
p1569,759.60
p1570,958.46
p1571,998.21
p1572,678.17
p1573,17.35
p1574,858.37
p1575,733.77
p1576,173.91
p1577,936.37
p1578,977.30
p1579,144.74
p1580,463.19
p1581,544.73
p1582,502.27
p1583,631.74
p1584,12.02
p1585,486.98
p1586,522.03
p1587,504.10
p1588,613.28
p1589,846.35
p1590,991.28
p1591,384.38
p1592,715.09
p1593,454.15
p1594,373.02
p1595,90.60
p1596,195.60
p1597,23.59
p1598,877.20
p1599,287.37
p1600,310.61
p1601,277.48
p1602,858.55
p1603,665.66
p1604,576.26
p1605,344.24
p1606,469.21
p1607,482.52
p1608,65.55
p1609,749.67
p1610,454.47
p1611,630.99
p1612,933.75
p1613,986.15
p1614,642.03
p1615,231.79
p1616,193.09
p1617,143.39
p1618,162.49
p1619,310.65
p1620,529.61
p1621,992.61
p1622,234.09
p1623,249.18
p1624,378.56
p1625,172.10
p1626,152.04
p1627,691.14
p1628,125.33
p1629,988.41
p1630,553.21
p1631,836.07
p1632,746.11
p1633,745.13
p1634,235.94
p1635,86.86
p1636,137.10
p1637,179.08
p1638,342.66
p1639,701.96
p1640,389.06
p1641,498.51
p1642,415.83
p1643,26.65
p1644,558.88
p1645,187.54
p1646,635.04
p1647,615.17
p1648,930.07
p1649,186.78
p1650,290.48
p1651,118.13
p1652,819.62
p1653,148.95
p1654,661.19
p1655,703.27
p1656,318.87
p1657,644.96
p1658,613.73
p1659,306.42
p1660,643.16
p1661,384.80
p1662,793.10
p1663,613.86
p1664,357.71
p1665,945.61
p1666,196.98
p1667,357.12
p1668,745.10
p1669,930.93
p1670,808.03
p1671,161.32
p1672,493.11
p1673,281.36
p1674,517.24
p1675,589.24
p1676,899.42
p1677,326.71
p1678,518.91
p1679,761.11
p1680,725.10
p1681,403.35
p1682,453.35
p1683,876.43
p1684,745.70
p1685,816.24
p1686,701.63
p1687,144.02
p1688,82.90
p1689,142.96
p1690,996.44
p1691,784.88
p1692,393.80
p1693,241.75
p1694,2.13
p1695,671.62
p1696,224.92
p1697,138.48
p1698,362.50
p1699,167.88
p1700,900.32
p1701,753.14
p1702,948.52
p1703,437.63
p1704,7.40
p1705,475.59
p1706,317.94
p1707,277.02
p1708,482.46
p1709,354.31
p1710,190.82
p1711,920.85
p1712,734.53
p1713,616.83
p1714,44.48
p1715,444.61
p1716,731.82
p1717,187.42
p1718,528.91
p1719,331.25
p1720,794.53
p1721,549.20
p1722,355.86
p1723,103.05
p1724,586.77
p1725,40.94
p1726,995.39
p1727,844.90
p1728,582.53
p1729,719.28
p1730,478.42
p1731,41.09
p1732,526.53
p1733,727.41
p1734,277.82
p1735,26.83
p1736,444.53
p1737,813.38
p1738,984.39
p1739,635.37
p1740,796.60
p1741,244.72
p1742,632.09
p1743,733.58
p1744,609.56
p1745,975.50
p1746,120.88
p1747,149.28
p1748,868.42
p1749,880.79
p1750,869.86
p1751,110.99
p1752,483.07
p1753,898.60
p1754,102.93
p1755,581.15
p1756,511.28
p1757,558.40
p1758,378.66
p1759,16.25
p1760,377.65
p1761,149.73
p1762,200.21
p1763,649.95
p1764,795.30
p1765,162.55
p1766,696.38
p1767,474.43
p1768,977.37
p1769,232.52
p1770,130.49
p1771,927.37
p1772,966.85
p1773,281.39
p1774,610.94
p1775,579.29
p1776,471.12
p1777,695.34
p1778,584.79
p1779,811.73
p1780,849.93
p1781,132.64
p1782,863.16
p1783,714.71
p1784,53.28
p1785,413.51
p1786,630.90
p1787,185.91
p1788,657.41
p1789,26.53
p1790,317.48
p1791,638.75
p1792,310.62
p1793,196.00
p1794,31.33
p1795,10.76
p1796,649.02
p1797,355.89
p1798,708.90
p1799,340.65
p1800,132.03
p1801,307.36
p1802,870.16
p1803,768.61
p1804,335.76
p1805,119.65
p1806,480.58
p1807,832.75
p1808,622.18
p1809,531.81
p1810,313.48
p1811,567.00
p1812,388.11
p1813,199.64
p1814,15.25
p1815,296.33
p1816,511.92
p1817,834.05
p1818,440.35
p1819,964.14
p1820,410.52
p1821,197.46
p1822,273.06
p1823,443.03
p1824,357.13
p1825,382.55
p1826,814.88
p1827,98.21
p1828,957.30
p1829,726.39
p1830,134.53
p1831,64.77
p1832,862.70
p1833,178.70
p1834,362.13
p1835,792.32
p1836,809.83
p1837,475.96
p1838,819.82
p1839,837.72
p1840,123.20
p1841,878.62
p1842,909.15
p1843,520.70
p1844,592.16
p1845,541.20
p1846,882.49
p1847,374.41
p1848,109.30
p1849,776.37
p1850,343.99
p1851,856.65
p1852,468.06
p1853,462.11
p1854,411.81
p1855,739.46
p1856,220.55
p1857,646.18
p1858,396.58
p1859,346.06
p1860,374.73
p1861,821.22
p1862,163.38
p1863,67.59
p1864,969.28
p1865,478.18
p1866,394.87
p1867,31.77
p1868,550.88
p1869,607.00
p1870,562.94
p1871,580.45
p1872,413.31
p1873,683.04
